codigoint;codigoean;descricao;loja;embseparacao;ppcx;eicx;capcx;ltmix;secaoope;grupomerc
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;003;24;0,50;1,50;2,83;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;004;24;0,33;1,33;1,42;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;011;24;0,33;1,33;2,83;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;012;24;0,33;1,33;2,83;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;013;24;0,33;1,33;2,83;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;014;24;0,33;1,33;1,42;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;017;24;0,33;1,33;2,83;A;10;102
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;018;24;0,33;1,33;1,42;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;001;25;0,60;1,60;0,00;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;002;25;0,80;1,80;1,36;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;003;25;6,00;7,00;4,08;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;004;25;0,60;1,60;2,04;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;005;25;0,60;1,60;0,68;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;006;25;0,80;1,80;4,08;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;007;25;0,60;1,60;2,04;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;008;25;1,00;2,00;2,04;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;011;25;1,60;3,00;10,88;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;012;25;1,20;2,20;4,08;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;013;25;1,00;2,00;2,72;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;014;25;0,56;1,56;0,68;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;017;25;1,20;2,20;2,72;A;10;102
9992894;7891515929060;LEITE PO DOBON COMP VITAM SH 400G;018;25;1,20;2,20;4,08;A;10;102
1012469;7891000285015;LEITE PO LT 260G MOLICO FIBRAS;002;24;0,25;1,25;1,42;A;10;102
